ace,pace,ssi,precip,start_year,ensemble_member,count
0.0,0.0,0.0,0.0,1960,1,0
0.6502359591525091,1089.1476533944237,24392.489329665506,5.6045689,1960,2,1
0.0,0.0,0.0,0.0,1960,3,0
0.0,0.0,0.0,0.0,1960,4,0
0.6598202982654751,2249.064783649471,33022.52889052754,5.2181789,1960,5,1
0.0,0.0,0.0,0.0,1960,6,0
0.0,0.0,0.0,0.0,1960,7,0
0.2845105652280051,1349.3377937336045,11965.607237448028,3.449758,1960,8,1
0.3653492039226157,615.6395924718092,12434.55900155665,7.297759,1960,9,1
0.0,0.0,0.0,0.0,1961,1,0
0.3479821867470456,71.190808059557,9768.207067236366,6.7075254,1961,2,1
0.3608719776620519,733.9724376501297,11583.00456116058,5.7259579,1961,3,1
0.8204892305010081,1964.9331967579842,38429.023968272435,7.3388026,1961,4,1
0.0,0.0,0.0,0.0,1961,5,0
0.0,0.0,0.0,0.0,1961,6,0
0.0,0.0,0.0,0.0,1961,7,0
0.0,0.0,0.0,0.0,1961,8,0
0.0,0.0,0.0,0.0,1961,9,0
0.0,0.0,0.0,0.0,1962,1,0
0.0,0.0,0.0,0.0,1962,2,0
0.0,0.0,0.0,0.0,1962,3,0
0.0,0.0,0.0,0.0,1962,4,0
0.0,0.0,0.0,0.0,1962,5,0
0.0,0.0,0.0,0.0,1962,6,0
0.0,0.0,0.0,0.0,1962,7,0
0.0,0.0,0.0,0.0,1962,8,0
0.0,0.0,0.0,0.0,1962,9,0
0.0,0.0,0.0,0.0,1963,1,0
0.1829670975045007,615.5139499035008,5397.594769936583,1.5658474,1963,2,1
0.0,0.0,0.0,0.0,1963,3,0
0.4557276790624951,1444.1180854443428,19480.864663470886,5.0025522,1963,4,1
0.0,0.0,0.0,0.0,1963,5,0
0.6137488510926684,1491.5244408010678,21532.00534005706,6.7310838,1963,6,1
0.0,0.0,0.0,0.0,1963,7,0
0.0,0.0,0.0,0.0,1963,8,0
0.0,0.0,0.0,0.0,1963,9,0
0.0,0.0,0.0,0.0,1964,1,0
0.0,0.0,0.0,0.0,1964,2,0
0.0,0.0,0.0,0.0,1964,3,0
0.23310754186317895,946.9745368626611,6964.112605187823,2.6608434,1964,4,1
0.0,0.0,0.0,0.0,1964,5,0
0.0,0.0,0.0,0.0,1964,6,0
0.0,0.0,0.0,0.0,1964,7,0
0.0,0.0,0.0,0.0,1964,8,0
