ace,pace,ssi,precip,start_year,ensemble_member,count
0.0,0.0,0.0,0.0,1960,1,0
0.0,0.0,0.0,0.0,1960,2,0
0.0,0.0,0.0,0.0,1960,3,0
0.0,0.0,0.0,0.0,1960,4,0
1.6755082688291145,1657.5703385188935,62054.415477710485,20.2130543,1960,5,2
0.3854067337615559,734.0750167277272,11107.908869488685,7.565948799999999,1960,6,1
0.0,0.0,0.0,0.0,1960,7,0
0.0,0.0,0.0,0.0,1960,8,0
0.0,0.0,0.0,0.0,1960,9,0
2.3931751256227085,1444.9464823827166,121577.30140484596,17.177181100000002,1961,1,1
0.0,0.0,0.0,0.0,1961,2,0
0.0,0.0,0.0,0.0,1961,3,0
0.0,0.0,0.0,0.0,1961,4,0
0.1318093688414524,946.8657947006106,4638.991361696426,0.6039061,1961,5,1
0.21505263160513838,307.7876931809113,6817.603801262765,1.2555071,1961,6,1
0.0,0.0,0.0,0.0,1961,7,0
0.3115175473594499,2296.2166585658915,10737.027187469,5.1277468,1961,8,1
0.0,0.0,0.0,0.0,1961,9,0
0.0,0.0,0.0,0.0,1962,1,0
3.488477502832901,1090.1884400806666,160780.26686733498,26.1999783,1962,2,1
0.0,0.0,0.0,0.0,1962,3,0
0.0,0.0,0.0,0.0,1962,4,0
0.0,0.0,0.0,0.0,1962,5,0
0.0,0.0,0.0,0.0,1962,6,0
0.0,0.0,0.0,0.0,1962,7,0
0.0,0.0,0.0,0.0,1962,8,0
0.07223372547456211,804.823262061127,2643.172250400118,0.6633182,1962,9,1
0.0,0.0,0.0,0.0,1963,1,0
0.0,0.0,0.0,0.0,1963,2,0
0.0,0.0,0.0,0.0,1963,3,0
0.20482293316881467,94.79528170284227,5661.022912529645,3.0210974,1963,4,1
0.0,0.0,0.0,0.0,1963,5,0
0.0,0.0,0.0,0.0,1963,6,0
0.0,0.0,0.0,0.0,1963,7,0
0.0,0.0,0.0,0.0,1963,8,0
0.0,0.0,0.0,0.0,1963,9,0
0.0,0.0,0.0,0.0,1964,1,0
0.0,0.0,0.0,0.0,1964,2,0
0.165906419282261,118.43870026954474,5445.581748689705,3.975414,1964,3,1
0.0,0.0,0.0,0.0,1964,4,0
0.2555624431133098,1515.010695970433,10701.75747003094,5.234116,1964,5,1
0.0,0.0,0.0,0.0,1964,6,0
0.0,0.0,0.0,0.0,1964,7,0
